game_name,id,game_genre,game_launch_date,purchase_date
NBA LIVE 16,75bd51e8214707cf2b2717d051cfb7d976fbb0b3,Sports,,2016-08-18
BATTLEFIELD 4,39f0f53e4f4eee26b2289352afce9bc8dfacdea4,Shooter,2013-10-29,2016-05-29
MADDEN 18,7130ef28080544ea0318003b9893ab49f1843311,Sports,2017-08-22,2017-08-27
NFS RIVALS (2014),3e7d4c3d7367a4cf0acbe2b255bd12670c2bc805,Action,,2015-12-11
FIFA 17,2b4088eb379f58688bfc780ccf75afd4b93cb565,Sports,2016-09-27,2017-03-12
FIFA 16,60f860272fd3ce0c0bc67647129c4e5320b0bd5d,Sports,2015-09-22,2015-09-26
PLANTS VS ZOMBIES GARDEN WARFARE,be59a9a817f8a8ccb3abc96ad1408af52f851f23,Shooter,,2016-02-04
BATTLEFRONT,00de55a40e4fbcdfd3f93e430f7a0be4de7d6bf2,Shooter,2015-11-17,2015-12-16
TITANFALL,bbbbce1b941df519a7f72a4b9baf9de14aa0aae3,Shooter,,2016-10-13
BATTLEFIELD HARDLINE,780a87857b5e9125b8ee65faafbd0e927ec5e7c4,Shooter,2015-03-17,2016-03-13
BATTLEFRONT,df145e540db02c4c4e91eec6e19d6cbee08099c0,Shooter,2015-11-17,2017-01-06
FIFA 17,e9e7a8e217936a494d2f1d7b014d2a87319ef636,Sports,2016-09-27,2016-10-01
BATTLEFRONT,b27bd511af9eca0284bdfd5fa39b0c8dce37acf2,Shooter,2015-11-17,2015-12-02
BATTLEFRONT,86b89e308cab87df3be14d7dcc6441b5b74307ca,Shooter,2015-11-17,2017-07-15
TITANFALL,d30d4d4ec7114ccdc7e71bfec82c2968f2765630,Shooter,,2016-10-13
FIFA 16,c77842a3f3c5d27da02f91840095f2c03377a2f4,Sports,2015-09-22,2015-11-10
FIFA 17,ed8c2ef549bc5bfec7f9f619046eab4b2d8b321b,Sports,2016-09-27,2016-09-27
MIRRORS EDGE CATALYST,8cff08fccb27cd8ea58c196f3b0b78e05cca738c,Action,2016-06-01,2017-05-07
EA ACCESS,7e33a360a17b41015e5a3ee36131a534a15c2f9e,Other Games/Compilations,,2016-01-22
MASS EFFECT:  ANDROMEDA,c2ffcc38eb87ca817da0279114f0e6ba6b9589b5,Role Playing,2017-03-21,2017-03-21
UFC,868ab883f74ddab0157301a0a1adc818b2c61f07,Fighting,,2016-08-02
NBA LIVE 16,b64ec48509dc3804599f2fc41997d36cc2e85886,Sports,,2016-07-25
MADDEN 17,84bd5892b765baf588043a5ada13156c339bdaa7,Sports,2016-08-23,2016-08-25
PLANTS VS ZOMBIES GARDEN WARFARE 2,6835fc1f8363c9651cdc7bb4ac342777088ddefd,Shooter,2016-02-23,2017-06-11
FIFA 16,d03eddb0edd33c48b64f362c33732fb57c6c561d,Sports,2015-09-22,2015-10-18
BATTLEFIELD 1,a2befec55eeab7a6241030d7a5f113f0b6d75882,Shooter,2016-10-21,2016-11-29
FIFA 16,2d9c6cef770ad937b6390321992d8b5d0f9f2d39,Sports,2015-09-22,2015-09-25
FIFA 17,79ba3e2365a4a8489196b744b9a5f4d505f3d187,Sports,2016-09-27,2017-06-17
MADDEN 16,810c095ebc79642aabb88478c952c7e9adf76be0,Sports,,2015-12-29
FIFA 16,95a3b9712ea7d7c3b7d4db2cfb6d2e81c3210f7a,Sports,2015-09-22,2015-11-02
FIFA 17,e91892f8ccb93c3481330496f35b4e358ac4b9f6,Sports,2016-09-27,2016-09-29
BATTLEFRONT,fe0e8e5386e4e1809719642d751dc4b4e35dc287,Shooter,2015-11-17,2017-02-05
FIFA 17,d6b9b66045dd25184397d52aec28a72467f20c8f,Sports,2016-09-27,2016-09-29
FIFA 17,739896078e0dcd0df0c37740384559674ea17def,Sports,2016-09-27,2016-10-01
MIRRORS EDGE CATALYST,15258d751db1dda732d3aad744628f3dd47875a0,Action,2016-06-01,2016-11-19
BATTLEFIELD 1,62f01bf01555533704becfaee351fc5ee77d633f,Shooter,2016-10-21,2016-11-12
BATTLEFIELD 4,91a2f0b45631e00c7dc5e18e142efaf35dab1ccf,Shooter,2013-10-29,2017-06-10
PGA TOUR GOLF 16,cbbab5f4a879c794eed9854b7a47f9979ff50cf3,Sports,,2017-01-04
FIFA 15,3082a7169ca7501c85546b6fbb4a7209a59ee8cd,Sports,2014-09-23,2016-10-08
TITANFALL,6a33650e72bcc5c70d58ebb60b54602c8a88aa40,Shooter,,2016-10-13
FIFA 17,18547ecfaeed0d552bd7bc621a00ede67137c729,Sports,2016-09-27,2017-05-06
PLANTS VS ZOMBIES GARDEN WARFARE,64e6abf02edb8fd80cb05b2124d9c167c58abb7d,Shooter,,2015-12-12
MADDEN 17,6dba33d21bccdc95bb366b00dcdeccf4ab15e477,Sports,2016-08-23,2016-08-28
TITANFALL 2,c11e2a8ff857babd62628fcecc66340e9d828967,Shooter,2016-11-01,2017-06-26
TITANFALL,95ab3b23edd5f4a1047a77df03f12e4498c0a3a9,Shooter,,2016-10-15
FIFA 16,4b864c19a33ef95601648bb3f81e0412fbc72f25,Sports,2015-09-22,2015-10-05
FIFA 16,12ba1d4f8a4e624ea1cfe48a5f9f2a45de990c49,Sports,2015-09-22,2015-12-12
UFC 2,36790f22d2d77c4661233ef1d284ff4beb410e5d,Fighting,2016-03-09,2017-07-09
FIFA 17,1d39fa7194e7d57babeacee3b85c373da649c073,Sports,2016-09-27,2016-10-13
FIFA 17,25cc123a49268de08236f82830e8072aa2fb71cb,Sports,2016-09-27,2017-01-15
BATTLEFIELD HARDLINE,a28931b76fdbe2dc537be8e7df69fc5d118e54a0,Shooter,2015-03-17,2016-01-21
TITANFALL 2,c13a8cedf9bd8fe27ce8f7cb31ca63a42da61782,Shooter,2016-11-01,2016-11-28
BATTLEFIELD 1,b0b23d685747ce34195bf238fd1ef65a533bf7b7,Shooter,2016-10-21,2016-12-12
FIFA 16,e235de50987714e24db7bbf0d47745cd95e78691,Sports,2015-09-22,2015-12-23
BATTLEFIELD 4,8346b499d52430b32f955e759c8e9defb096b29d,Shooter,2013-10-29,2016-06-29
NFS 2016,0188400cf2d15f7d45bf156649a122115ab34dc8,Action,2015-11-03,2016-11-13
FIFA 16,b55ac06266c7d61f0a58376ef91a3275c7569ebc,Sports,2015-09-22,2015-12-25
UFC 2,34ec5d578e4ecda3ae0c81503a079b13e0d699c4,Fighting,2016-03-09,2017-06-12
NFS RIVALS (2014),8a004c584b70c8a66967be5a455b8a462065708c,Action,,2017-03-05
BATTLEFIELD 4,40c646f39b8faa00a27a194bed4a82e6b24399fd,Shooter,2013-10-29,2016-05-13
BATTLEFIELD 1,1721249f2dfeb2415ffe67d892941114cedb8b13,Shooter,2016-10-21,2016-12-31
NHL 17,56609622878d0a640722fadfaa976ccd1fbdf3a8,Sports,2016-09-13,2016-12-24
TITANFALL 2,1acf4f938244cb535b27b7d6aaee4dea9cda81fe,Shooter,2016-11-01,2017-01-03
EA ACCESS,af92b097926a3227582b081ae9ad6dc41e728d95,Other Games/Compilations,,2016-11-13
FIFA 16,4a234b44df96eb57c05df42b1908a10df8626ee7,Sports,2015-09-22,2017-06-18
BATTLEFRONT,14776ff62794db7e2bcffa58cca1a2874594baef,Shooter,2015-11-17,2015-11-30
FIFA 16,799e67c269054bb01977d1075f19e760e4c08488,Sports,2015-09-22,2016-04-06
FIFA 16,48681433034c48e38e294025f0c4ac79c26d573b,Sports,2015-09-22,2015-10-02
FIFA 16,f63e745e56c02ffbdd80e97cedc44fc0dc4e8cb1,Sports,2015-09-22,2016-08-01
BATTLEFIELD 4,ead390531244273ecc968c64471024e103a59d73,Shooter,2013-10-29,2016-08-11
FIFA 16,696a44c7f2c85dfffed669e29803a6706bfcc0a0,Sports,2015-09-22,2015-11-05
FIFA 17,42409ebeefcf2b26c76bc4bfe78954964153a805,Sports,2016-09-27,2016-12-08
FIFA 16,61257dfcd8312f3e16228ff1ba957f9726880102,Sports,2015-09-22,2016-05-27
TITANFALL 2,db84742756ef8dee750da8ae29d25c25760109c0,Shooter,2016-11-01,2017-04-29
FIFA 16,05d4242cb783999fb9459a720aa77a53c21241ac,Sports,2015-09-22,2015-12-25
FIFA 16,f08eeaba00e578f1a5a3d72e4409dabd9cd4ff45,Sports,2015-09-22,2016-02-25
FIFA 16,c6ad91d12337bee25a8b559ccc982133db2775c4,Sports,2015-09-22,2015-09-21
BATTLEFIELD HARDLINE,5e59fb2c6c5e7ef48e0b186ba06cc25d60788750,Shooter,2015-03-17,2015-09-12
BATTLEFIELD 1,1bdd3660e0f1af9fef9c1c79caa08788abf04d1e,Shooter,2016-10-21,2017-08-16
BATTLEFRONT,7d3e6b816bc1c21482d8b24cf16df3baf97e137d,Shooter,2015-11-17,2016-11-27
BATTLEFIELD HARDLINE,173b92a8b8e0198c3857c4eef82b9d0ce54c4b58,Shooter,2015-03-17,2016-04-07
BATTLEFRONT,4308d809d002516d61dd8296e3239638b7ab621e,Shooter,2015-11-17,2015-12-27
TITANFALL 2,bd427e829864c07c15f3cabf4a54cf7d9a61b1f6,Shooter,2016-11-01,2016-10-30
FIFA 16,54a2cfc18395887b77dc4a4892d115747e29a547,Sports,2015-09-22,2015-09-29
NFS 2016,cfb9c1db63adf96ec0ff6a5c19ca20496e9a74c3,Action,2015-11-03,2017-04-06
BATTLEFIELD HARDLINE,f04a2a582925d8aedb0b666bf2999f2392e6442b,Shooter,2015-03-17,2017-07-17
UFC,1b6933587578e64748d34e0378fb0fd6fb3c504a,Fighting,,2016-12-20
BATTLEFIELD 1,7b63a24f7221bf6eed637a5bd13eef802f58d933,Shooter,2016-10-21,2016-12-07
FIFA 16,4b0655a4eb921f4588b68fd9e73f31bd26d19abc,Sports,2015-09-22,2015-10-06
FIFA 16,e3e33d1505804f80ef80b1eff7a792c73dc33087,Sports,2015-09-22,2015-10-08
BATTLEFIELD 4,ada04afb147fa0f78b17da95e020f3fdedef3ae3,Shooter,2013-10-29,2016-09-10
FIFA 16,f10807f755e31d72e68b92caf32f400ef3f8d914,Sports,2015-09-22,2017-02-24
BATTLEFIELD 1,8c0c0b78375bfbf75d0bc109a2f79f43eabce888,Shooter,2016-10-21,2016-12-25
BATTLEFRONT,a2ac699aa295931d47829863dfe6d7254bb31542,Shooter,2015-11-17,2015-12-25
BATTLEFIELD 4,6b3c097611adbadeff8438137e0a9d86d57b68ac,Shooter,2013-10-29,2016-02-14
EA ACCESS,ce9a20b2d7d3c7f24d55713a4f462c87b6b76620,Other Games/Compilations,,2017-08-30
FIFA 16,b6a3285f4aecaa18cdea30f72e78c205e15f8f6f,Sports,2015-09-22,2015-10-31
FIFA 16,19735d5b5a05b237a4795c1269e7089a2e027ca8,Sports,2015-09-22,2017-07-15
BATTLEFRONT,c55a059cbba8d7cd10d012cebb4b90cfde2e8c5e,Shooter,2015-11-17,2017-08-12
EA ACCESS,66d1d85f7014798ecaa1048650052bf62c95daf0,Other Games/Compilations,,2015-10-18
EA ACCESS,01d54a2b21fe8dfeb3b6dd9f05d10ed12bd6cdd7,Other Games/Compilations,,2017-06-12
DRAGON AGE: INQUISITION,c8ecf8b13879ccdbe08c0a3899c06b90c465862f,Role Playing,,2015-10-17
BATTLEFRONT,057d99b9ea27027445f74b5195ed3da4841faf20,Shooter,2015-11-17,2015-12-25
FIFA 17,b31d011a8d4fba4731a89d2c5b5113a86a0bd656,Sports,2016-09-27,2016-11-10
FIFA 17,f160f9d50b63a0212a02d4fb882abb55af9db133,Sports,2016-09-27,2016-10-01
BATTLEFIELD HARDLINE,a2cdb84d9a001909c8f62aaac39ff728b1f3c9f5,Shooter,2015-03-17,2016-12-27
NFS 2016,f3ba90a789d033f37f2b96c9429baa40e0e9a8df,Action,2015-11-03,2015-12-25
MADDEN 16,b0ba223e0e53f0b5873bcf570d63d61bed53bd22,Sports,,2016-04-28
UFC,987dda526255ada8ea96682b4ebf6776c61e6898,Fighting,,2015-12-27
FIFA 16,d3b9241262e62272d0856bd7b7b9cd3fafdd8854,Sports,2015-09-22,2015-12-27
TITANFALL 2,bb92b9b0901764b4747ecc29ffacb63902d2f99a,Shooter,2016-11-01,2016-11-26
FIFA 17,eabc978424de3ea88f7df999a70066eb8babc6b9,Sports,2016-09-27,2017-03-07
TITANFALL,294d7afa00a0a8bccb8e7e6590a379500ab7eca6,Shooter,,2016-10-15
EA ACCESS,941a5778ab4ca32c57fb274cb6015174729b2070,Other Games/Compilations,,2016-04-01
FIFA 17,778ad90a52d8acfc058a997081581e4acb5e501a,Sports,2016-09-27,2017-07-01
FIFA 16,adaeaa1d1cf33575bcd1b761ffe98f02224cda49,Sports,2015-09-22,2016-03-26
BATTLEFRONT,bc5d8f1fc8d85f8c467a9032fc18e6b49356dae0,Shooter,2015-11-17,2016-01-02
FIFA 17,6ed7d8d50f066cb0feab35fcde8158f59fda18a6,Sports,2016-09-27,2017-02-24
FIFA 16,b0eb0d06c76d8e2a1a7288fd5e879bd20cad2ec4,Sports,2015-09-22,2015-11-16
FIFA 17,3886fa3a853df146fa8f5200c9ca1be00b45a22c,Sports,2016-09-27,2017-08-07
MADDEN 16,9bf296cf76d642cf7d2d10e86bfd8aafed228186,Sports,,2016-02-02
